DATA_DO_PREGAO,PRECO_MEDIO,CODIGO_DE_NEGOCIACAO,NOME_DA_EMPRESA,QUANTIDADE_NEGOCIADA
2023-01-02,15.08,NEOE3,NEOENERGIA,325000.0
2023-01-02,0.29,NEXP3,NEXPE,197700.0
2023-01-02,1.46,NGRD3,NEOGRID,589900.0
2023-01-02,2.73,NINJ3,GETNINJAS,76000.0
2023-01-02,8.57,NORD3,NORDON MET,2700.0
2023-01-02,9.23,TTEN3,3TENTOS,701700.0
2023-01-02,26.37,TUPY3,TUPY,573000.0
2023-01-02,2.5,UCAS3,UNICASA,9600.0
2023-01-02,12.01,UGPA3,ULTRAPAR,2973300.0
2023-01-02,4.02,DMVF3,D1000VFARMA,7500.0
2023-01-02,1.24,DOTZ3,DOTZ SA,29400.0
2023-01-02,6.57,DXCO3,DEXCO,1491800.0
2023-01-02,10.66,PORT3,WILSON SONS,115700.0
2023-01-02,8.88,POSI3,POSITIVO TEC,1761000.0
2023-01-02,36.87,PRIO3,PETRORIO,6577200.0
2023-01-02,4.05,SYNE3,SYN PROP TEC,857000.0
2023-01-02,25.94,BLAU3,BLAU,141000.0
2023-01-02,14.19,ABEV3,AMBEV S/A,14995900.0
2023-01-02,2.54,BRIT3,BRISANET,830500.0
2023-01-02,9.0,BRIV3,ALFA INVEST,100.0
2023-01-02,24.57,BRKM3,BRASKEM,9400.0
2023-01-02,8.05,BRML3,BR MALLS PAR,8134100.0
2023-01-02,6.32,BRPR3,BR PROPERT,1297900.0
2023-01-02,13.22,DASA3,DASA,396900.0
2023-01-02,8.85,ODPV3,ODONTOPREV,836500.0
2023-01-02,23.66,OFSA3,OUROFINO S/A,8300.0
2023-01-02,0.17,OIBR3,OI,43178300.0
2023-01-02,5.68,ONCO3,ONCOCLINICAS,1937800.0
2023-01-02,3.51,PFRM3,PROFARMA,132100.0
2023-01-02,4.29,SEER3,SER EDUCA,497800.0
2023-01-02,2.9,SEQL3,SEQUOIA LOG,2604100.0
2023-01-02,1.28,SGPS3,SPRINGS,222100.0
2023-01-02,2.36,SHOW3,TIME FOR FUN,131500.0
2023-01-02,6.31,SIMH3,SIMPAR,2999600.0
2023-01-02,45.71,SLCE3,SLC AGRICOLA,731200.0
2023-01-02,9.01,ALUP3,ALUPAR,16200.0
2023-01-02,1.2,AMAR3,LOJAS MARISA,4320500.0
