DATA_DO_PREGAO,PRECO_MEDIO,CODIGO_DE_NEGOCIACAO,NOME_DA_EMPRESA,QUANTIDADE_NEGOCIADA
2022-01-03,58.96,GNDI3,INTERMEDICA,3960200.0
2022-01-03,15.29,ABEV3,AMBEV S/A,23833600.0
2022-01-03,2.19,LPSB3,LOPES BRASIL,1552200.0
2022-01-03,5.99,RCSL3,RECRUSUL,6668000.0
2022-01-03,32.92,ELET3,ELETROBRAS,3669800.0
2022-01-03,15.8,SOJA3,BOA SAFRA,275200.0
2022-01-03,17.4,IFCM3,INFRACOMM,1682000.0
2022-01-03,6.62,REDE3,REDE ENERGIA,600.0
2022-01-03,22.03,EQTL3,EQUATORIAL,6342700.0
2022-01-03,8.66,AFLT3,AFLUENTE T,500.0
2022-01-03,25.2,MDIA3,M.DIASBRANCO,1035300.0
2022-01-03,4.7,SGPS3,SPRINGS,116800.0
2022-01-03,2.75,ENJU3,ENJOEI,2320100.0
2022-01-03,11.27,LIGT3,LIGHT S/A,1549000.0
2022-02-03,11.69,SEER3,SER EDUCA,554600.0
2022-02-03,29.82,GSHP3,GENERALSHOPP,100.0
2022-02-03,7.45,MOSI3,MOSAICO,623700.0
2022-02-03,86.01,VALE3,VALE,19179400.0
2022-02-03,3.69,WEST3,WESTWING,586400.0
2022-02-03,15.4,BMOB3,BEMOBI TECH,1726300.0
2022-02-03,4.44,BRIT3,BRISANET,341600.0
2022-02-03,4.4,CAMB3,CAMBUCI,11400.0
2022-02-03,5.04,PFRM3,PROFARMA,80700.0
2022-02-03,25.5,LCAM3,LOCAMERICA,3197400.0
2022-02-03,8.13,BIDI3,BANCO INTER,1455000.0
2022-02-03,48.66,BRKM3,BRASKEM,8900.0
2022-02-03,3.43,AMAR3,LOJAS MARISA,3862500.0
2022-02-03,16.94,AALR3,ALLIAR,494800.0
2022-02-03,6.15,ESPA3,ESPACOLASER,1795000.0
2022-01-03,6.73,WHRL3,WHIRLPOOL,400.0
2022-01-03,31.37,PETR3,PETROBRAS,15578500.0
2022-01-03,16.56,BBDC3,BRADESCO,8609000.0
2022-01-03,18.07,RECV3,PETRORECSA,1112300.0
2022-01-03,51.05,RENT3,LOCALIZA,7249500.0
2022-01-03,80.91,ENMT3,ENERGISA MT,500.0
2022-01-03,11.03,ONCO3,ONCOCLINICAS,1161900.0
2022-01-03,25.28,ORVR3,ORIZON,1469600.0
2022-01-03,14.5,SANB3,SANTANDER BR,114300.0
2022-01-03,19.41,EZTC3,EZTEC,2318000.0
2022-01-03,4.62,MBLY3,MOBLY,226300.0
2022-01-03,24.57,VIVA3,VIVARA S.A.,680100.0
2022-02-03,9.5,BRML3,BR MALLS PAR,17637900.0
2022-02-03,6.16,RANI3,IRANI,1781000.0
2022-02-03,19.82,PSSA3,PORTO SEGURO,1704500.0
2022-02-03,13.82,BPAC3,BTGP BANCO,4500.0
2022-02-03,28.19,TOTS3,TOTVS,2745300.0
2022-02-03,5.01,BEES3,BANESTES,12500.0
2022-02-03,15.19,RAIL3,RUMO S.A.,10535400.0
2022-02-03,3.4,IGTI3,IGUATEMI S.A,238200.0
2022-02-03,13.19,CSMG3,COPASA,1469900.0
2022-02-03,11.47,CLSA3,CLEARSALE,1509700.0
2022-02-03,22.47,VBBR3,VIBRA,7868700.0
2022-02-03,22.5,YDUQ3,YDUQS PART,3588300.0
2022-02-03,50.04,VIVT3,TELEF BRASIL,1269200.0
2022-01-03,1.96,GFSA3,GAFISA,4621400.0
2022-01-03,9.58,GUAR3,GUARARAPES,715400.0
2022-01-03,5.26,JHSF3,JHSF PART,6619400.0
2022-01-03,6.09,BOAS3,BOA VISTA,1390500.0
2022-01-03,23.42,LREN3,LOJAS RENNER,11665200.0
2022-01-03,15.89,NEOE3,NEOENERGIA,3231300.0
2022-01-03,15.94,PETZ3,PETZ,6452600.0
2022-01-03,33.48,CEEB3,COELBA,800.0
2022-01-03,15.97,CEBR3,CEB,500.0
2022-02-03,7.22,STBP3,SANTOS BRP,4234600.0
2022-02-03,2.72,POMO3,MARCOPOLO,145400.0
2022-02-03,3.21,ATOM3,ATOMPAR,10900.0
2022-02-03,12.65,TAEE3,TAESA,65400.0
2022-02-03,8.72,BRIV3,ALFA INVEST,9600.0
2022-02-03,15.09,EPAR3,EMBPAR S/A,1400.0
2022-02-03,3.02,OPCT3,OCEANPACT,833400.0
2022-02-03,10.4,GOAU3,GERDAU MET,52500.0
2022-02-03,4.9,MODL3,MODALMAIS,3700.0
2022-02-03,33.41,APER3,ALPER S.A.,38800.0
2022-02-03,4.34,HBOR3,HELBOR,1230300.0
2022-02-03,22.83,RADL3,RAIADROGASIL,4014600.0
2022-01-03,13.42,MATD3,MATER DEI,535000.0
2022-01-03,20.75,ENBR3,ENERGIAS BR,3482100.0
2022-01-03,2.21,CIEL3,CIELO,20955700.0
2022-01-03,8.34,HBRE3,HBR REALTY,20700.0
2022-01-03,2.22,TECN3,TECHNOS,1639800.0
2022-01-03,11.35,CAML3,CAMIL,1558600.0
2022-01-03,16.31,QUAL3,QUALICORP,1903400.0
2022-01-03,12.84,ENGI3,ENERGISA,37300.0
2022-01-03,6.89,CMIN3,CSNMINERACAO,13281500.0
2022-02-03,37.88,MNDL3,MUNDIAL,200.0
2022-02-03,19.42,FLRY3,FLEURY,1659200.0
2022-02-03,14.2,DXCO3,DEXCO,2767400.0
2022-02-03,18.24,CMIG3,CEMIG,270900.0
2022-02-03,34.19,JBSS3,JBS,9608600.0
2022-02-03,64.41,LIPR3,ELETROPAR,300.0
2022-02-03,22.47,PARD3,IHPARDINI,557200.0
2022-02-03,14.21,BAHI3,BAHEMA,4900.0
2022-02-03,19.08,SQIA3,SINQIA,1102300.0
2022-02-03,14.03,EUCA3,EUCATEX,10900.0
2022-02-03,8.51,RSID3,ROSSI RESID,38800.0
2022-02-03,2.04,TPIS3,TRIUNFO PART,945400.0
2022-01-03,10.66,LJQQ3,QUERO-QUERO,2559100.0
2022-01-03,18.03,VVEO3,VIVEO,198000.0
2022-01-03,39.28,SCAR3,SAO CARLOS,4900.0
2022-01-03,6.29,MNPR3,MINUPAR,6600.0
2022-01-03,27.16,INTB3,INTELBRAS,748000.0
2022-01-03,14.84,CYRE3,CYRELA REALT,10561400.0
2022-01-03,21.44,MRFG3,MARFRIG,6700400.0
2022-01-03,22.62,GGBR3,GERDAU,89500.0
2022-01-03,6.37,EVEN3,EVEN,1142800.0
2022-02-03,23.17,CESP3,CESP,1800.0
2022-02-03,6.21,MILS3,MILLS,698600.0
2022-02-03,9.27,POSI3,POSITIVO TEC,2959700.0
2022-02-03,29.74,BSLI3,BRB BANCO,1800.0
2022-02-03,4.21,DMVF3,D1000VFARMA,120900.0
2022-02-03,14.41,CARD3,CSU CARDSYST,297100.0
2022-02-03,4.06,KRSA3,KORA SAUDE,85900.0
2022-01-03,11.29,VAMO3,VAMOS,4266300.0
2022-01-03,17.82,MULT3,MULTIPLAN,11728100.0
2022-01-03,16.9,CRDE3,CR2,100.0
2022-01-03,5.7,TRAD3,TC,1927400.0
2022-01-03,24.43,TASA3,TAURUS ARMAS,18500.0
2022-01-03,11.48,CCRO3,CCR SA,10991500.0
2022-01-03,399.45,MOAR3,MONT ARANHA,1300.0
2022-01-03,54.92,PORT3,WILSON SONS,46200.0
2022-01-03,11.41,MRVE3,MRV,6040700.0
2022-01-03,17.38,RAIL3,RUMO S.A.,9080400.0
2022-01-03,25.84,CPFE3,CPFL ENERGIA,3036200.0
2022-02-03,14.81,UGPA3,ULTRAPAR,6936700.0
2022-02-03,28.21,AGRO3,BRASILAGRO,934600.0
2022-02-03,41.31,KEPL3,KEPLER WEBER,264500.0
2022-02-03,14.67,LVTC3,WDC NETWORKS,179800.0
2022-02-03,3.81,PLPL3,PLANOEPLANO,893100.0
2022-02-03,13.9,BIOM3,BIOMM,9200.0
2022-02-03,1.61,GETT3,GETNET BR,187600.0
2022-02-03,15.17,ALLD3,ALLIED,121600.0
2022-02-03,16.55,CRFB3,CARREFOUR BR,3627900.0
2022-02-03,6.38,MDNE3,MOURA DUBEUX,149300.0
2022-01-03,8.33,MOSI3,MOSAICO,320600.0
2022-01-03,10.1,SEER3,SER EDUCA,811500.0
2022-01-03,78.76,VALE3,VALE,18557200.0
2022-01-03,3.28,WEST3,WESTWING,1912000.0
2022-01-03,4.72,BRIT3,BRISANET,893100.0
2022-01-03,14.66,BMOB3,BEMOBI TECH,516500.0
2022-01-03,4.87,CAMB3,CAMBUCI,27400.0
2022-01-03,4.83,CRIV3,ALFA FINANC,200.0
2022-01-03,22.75,LCAM3,LOCAMERICA,3781800.0
2022-01-03,5.84,PFRM3,PROFARMA,239500.0
2022-01-03,9.49,BIDI3,BANCO INTER,582200.0
2022-02-03,23.6,CSAN3,COSAN,3259000.0
2022-02-03,32.28,BBAS3,BRASIL,11751300.0
2022-02-03,1.7,BLUT3,B TECH EQI,123400.0
2022-02-03,10.15,ITSA3,ITAUSA,236500.0
2022-02-03,22.79,BBSE3,BBSEGURIDADE,3403700.0
2022-02-03,7.73,MTRE3,MITRE REALTY,870800.0
2022-01-03,3.61,AMAR3,LOJAS MARISA,4660600.0
2022-01-03,56.59,BRKM3,BRASKEM,30000.0
2022-01-03,7.78,ESPA3,ESPACOLASER,1388600.0
2022-01-03,13.88,AALR3,ALLIAR,601000.0
2022-01-03,8.12,BRML3,BR MALLS PAR,31116500.0
2022-01-03,12.53,BPAC3,BTGP BANCO,11300.0
2022-01-03,6.7,RANI3,IRANI,1021700.0
2022-01-03,20.35,PSSA3,PORTO SEGURO,1503200.0
2022-01-03,4.83,BEES3,BANESTES,7700.0
2022-01-03,27.96,TOTS3,TOTVS,5585200.0
2022-01-03,12.18,TAEE3,TAESA,80200.0
2022-01-03,2.6,IGTI3,IGUATEMI S.A,581900.0
2022-01-03,12.36,CSMG3,COPASA,2160900.0
2022-01-03,20.53,VBBR3,VIBRA,7653000.0
2022-01-03,20.01,YDUQ3,YDUQS PART,3935900.0
2022-01-03,8.67,CLSA3,CLEARSALE,1212600.0
2022-01-03,47.79,VIVT3,TELEF BRASIL,1964600.0
2022-02-03,7.07,JSLG3,JSL,362900.0
2022-02-03,9.62,JALL3,JALLESMACHAD,729300.0
2022-02-03,8.39,ANIM3,ANIMA,1737500.0
2022-02-03,233.96,BMKS3,BIC MONARK,30.0
2022-02-03,8.37,ALUP3,ALUPAR,7200.0
2022-02-03,7.1,BRPR3,BR PROPERT,3622500.0
2022-02-03,130.0,CGAS3,COMGAS,100.0
2022-02-03,6.13,CEAB3,CEA MODAS,2948200.0
2022-02-03,22.11,ITUB3,ITAUUNIBANCO,1111200.0
2022-02-03,13.26,ENEV3,ENEVA,6527500.0
2022-02-03,8.86,BEEF3,MINERVA,8438400.0
2022-02-03,4.6,NINJ3,GETNINJAS,405700.0
2022-02-03,9.38,RDNI3,RNI,1300.0
2022-01-03,6.49,STBP3,SANTOS BRP,10062000.0
2022-01-03,2.51,POMO3,MARCOPOLO,219500.0
2022-01-03,3.0,ATOM3,ATOMPAR,101400.0
2022-01-03,13.27,EPAR3,EMBPAR S/A,2000.0
2022-01-03,10.72,GOAU3,GERDAU MET,75900.0
2022-01-03,2.86,OPCT3,OCEANPACT,785700.0
2022-01-03,4.18,MODL3,MODALMAIS,30700.0
2022-01-03,31.09,APER3,ALPER S.A.,57100.0
2022-01-03,4.46,HBOR3,HELBOR,687800.0
2022-02-03,8.77,PTBL3,PORTOBELLO,1437600.0
2022-02-03,22.59,PCAR3,P.ACUCAR-CBD,1282100.0
2022-02-03,6.56,MGLU3,MAGAZ LUIZA,165148300.0
2022-02-03,1.9,CTSA3,SANTANENSE,6000.0
2022-02-03,19.97,TUPY3,TUPY,907100.0
2022-02-03,12.05,AGXY3,AGROGALAXY,103400.0
2022-02-03,3.86,UCAS3,UNICASA,21700.0
2022-02-03,3.83,SAPR3,SANEPAR,426400.0
2022-01-03,23.46,RADL3,RAIADROGASIL,7165000.0
2022-01-03,14.79,DXCO3,DEXCO,2735200.0
2022-01-03,32.66,MNDL3,MUNDIAL,500.0
2022-01-03,17.16,FLRY3,FLEURY,3405100.0
2022-01-03,18.24,CMIG3,CEMIG,647600.0
2022-01-03,36.65,JBSS3,JBS,9037300.0
2022-01-03,72.0,LIPR3,ELETROPAR,100.0
2022-01-03,18.92,PARD3,IHPARDINI,177400.0
2022-01-03,14.85,BAHI3,BAHEMA,4700.0
2022-01-03,16.06,SQIA3,SINQIA,671900.0
2022-01-03,11.84,EUCA3,EUCATEX,4400.0
2022-01-03,24.98,CSNA3,SID NACIONAL,8382300.0
2022-01-03,8.96,RSID3,ROSSI RESID,76300.0
2022-02-03,3.81,TCSA3,TECNISA,422400.0
2022-02-03,4.51,ALPK3,ESTAPAR,30600.0
2022-02-03,14.69,SEQL3,SEQUOIA LOG,1169700.0
2022-02-03,22.31,ARML3,ARMAC,2635000.0
2022-02-03,22.25,ALSO3,ALIANSCSONAE,1087000.0
2022-02-03,2.79,HBSA3,HIDROVIAS,2262900.0
2022-02-03,11.31,MEGA3,OMEGAENERGIA,767500.0
2022-01-03,2.08,TPIS3,TRIUNFO PART,1102100.0
2022-01-03,21.7,CESP3,CESP,4600.0
2022-01-03,20.38,TUPY3,TUPY,499800.0
2022-01-03,10.76,POSI3,POSITIVO TEC,5908800.0
2022-01-03,5.78,LAME3,LOJAS AMERIC,3444100.0
2022-01-03,26.59,BSLI3,BRB BANCO,300.0
2022-02-03,2.9,NGRD3,NEOGRID,985800.0
2022-02-03,10.15,VLID3,VALID,1082400.0
2022-02-03,6.57,CPLE3,COPEL,1190100.0
2022-02-03,22.62,PRIO3,PETRORIO,15208900.0
2022-02-03,13.97,PNVL3,DIMED,437400.0
2022-02-03,16.19,ROMI3,INDS ROMI,734000.0
2022-02-03,17.84,DESK3,DESKTOP,376900.0
2022-02-03,14.99,USIM3,USIMINAS,403900.0
2022-02-03,8.3,CURY3,CURY S/A,839400.0
2022-02-03,10.99,POWE3,FOCUS ON,137000.0
2022-02-03,16.03,MOVI3,MOVIDA,2269100.0
2022-01-03,4.23,DMVF3,D1000VFARMA,107300.0
2022-01-03,12.6,CARD3,CSU CARDSYST,284500.0
2022-01-03,5.08,KRSA3,KORA SAUDE,81100.0
2022-01-03,14.28,UGPA3,ULTRAPAR,7856600.0
2022-01-03,1.93,GETT3,GETNET BR,576600.0
2022-01-03,28.55,AGRO3,BRASILAGRO,590600.0
2022-01-03,38.52,KEPL3,KEPLER WEBER,234800.0
2022-01-03,16.17,LVTC3,WDC NETWORKS,321800.0
2022-02-03,12.16,PTNT3,PETTENATI,4700.0
2022-02-03,1.63,PDGR3,PDG REALT,1987300.0
2022-02-03,8.31,SULA3,SUL AMERICA,18900.0
2022-02-03,26.04,OFSA3,OUROFINO S/A,5100.0
2022-02-03,2.57,TECN3,TECHNOS,1120500.0
2022-02-03,28.58,LOGG3,LOG COM PROP,459000.0
2022-02-03,46.2,RDOR3,REDE D OR,3435000.0
2022-02-03,92.31,UNIP3,UNIPAR,24300.0
2022-02-03,17.31,CBAV3,CBA,919600.0
2022-02-03,3.01,DOTZ3,DOTZ SA,13300.0
2022-02-03,6.35,RPAD3,ALFA HOLDING,100.0
2022-02-03,14.6,VITT3,VITTIA,121300.0
2022-01-03,3.15,PLPL3,PLANOEPLANO,599500.0
2022-01-03,13.24,BIOM3,BIOMM,5400.0
2022-01-03,17.16,ALLD3,ALLIED,308000.0
2022-01-03,14.46,CRFB3,CARREFOUR BR,4634100.0
2022-01-03,5.55,MDNE3,MOURA DUBEUX,211400.0
2022-01-03,21.39,CSAN3,COSAN,8988900.0
2022-02-03,6.32,BKBR3,BK BRASIL,1990000.0
2022-02-03,7.73,ECOR3,ECORODOVIAS,5200600.0
2022-02-03,7.2,SYNE3,SYN PROP TEC,714800.0
2022-02-03,11.28,SIMH3,SIMPAR,1494900.0
2022-02-03,6.08,CSED3,CRUZEIRO EDU,727300.0
2022-02-03,8.87,CXSE3,CAIXA SEGURI,2672500.0
2022-02-03,34.15,BLAU3,BLAU,198300.0
2022-02-03,19.97,BRFS3,BRF SA,19132400.0
2022-02-03,82.39,ARZZ3,AREZZO CO,1328800.0
2022-02-03,1.17,BBRK3,BR BROKERS,1435200.0
2022-02-03,28.09,DASA3,DASA,364100.0
2022-01-03,1.63,BLUT3,B TECH EQI,59800.0
2022-01-03,29.11,BBAS3,BRASIL,16169300.0
2022-01-03,9.3,ITSA3,ITAUSA,187100.0
2022-01-03,20.65,BBSE3,BBSEGURIDADE,3011900.0
2022-01-03,7.97,MTRE3,MITRE REALTY,378900.0
2022-01-03,14.39,VITT3,VITTIA,78600.0
2022-01-03,7.26,JSLG3,JSL,410300.0
2022-01-03,9.83,JALL3,JALLESMACHAD,3064800.0
2022-01-03,8.04,ANIM3,ANIMA,2190100.0
2022-01-03,234.9,BMKS3,BIC MONARK,10.0
2022-02-03,0.96,DMMO3,DOMMO,24060800.0
2022-02-03,36.75,SMTO3,SAO MARTINHO,628100.0
2022-02-03,6.34,AERI3,AERIS,1204700.0
2022-02-03,1.22,VIVR3,VIVER,4210800.0
2022-02-03,35.93,RRRP3,3R PETROLEUM,4112800.0
2022-02-03,5.79,KLBN3,KLABIN S/A,74700.0
2022-02-03,31.84,AMER3,AMERICANAS,6719900.0
2022-02-03,5.15,CRIV3,ALFA FINANC,200.0
2022-02-03,26.79,CSNA3,SID NACIONAL,7024700.0
2022-02-03,5.78,LAVV3,LAVVI,981700.0
2022-01-03,7.98,ALUP3,ALUPAR,12400.0
2022-01-03,7.11,BRPR3,BR PROPERT,2095000.0
2022-01-03,142.99,CGAS3,COMGAS,200.0
2022-01-03,19.38,ITUB3,ITAUUNIBANCO,1289800.0
2022-01-03,5.96,CEAB3,CEA MODAS,2044700.0
2022-01-03,13.57,ENEV3,ENEVA,9850100.0
2022-01-03,10.08,RDNI3,RNI,24600.0
2022-01-03,10.5,BEEF3,MINERVA,5366100.0
2022-01-03,5.23,NINJ3,GETNINJAS,640500.0
2022-01-03,9.12,PTBL3,PORTOBELLO,1254500.0
2022-01-03,21.0,PCAR3,P.ACUCAR-CBD,2878900.0
2022-02-03,6.92,PRNR3,PRINER,493100.0
2022-02-03,9.38,HAGA3,HAGA S/A,110500.0
2022-02-03,31.19,WEGE3,WEG,5506300.0
2022-02-03,3.89,AZEV3,AZEVEDO,91700.0
2022-02-03,20.11,LAND3,TERRASANTAPA,11700.0
2022-02-03,36.43,SBSP3,SABESP,2632700.0
2022-02-03,12.21,ODPV3,ODONTOPREV,1183700.0
2022-02-03,9.07,VULC3,VULCABRAS,995800.0
2022-02-03,5.57,EQPA3,EQTL PARA,4400.0
2022-01-03,6.86,MGLU3,MAGAZ LUIZA,145442000.0
2022-01-03,1.89,CTSA3,SANTANENSE,8100.0
2022-01-03,10.53,AGXY3,AGROGALAXY,63500.0
2022-01-03,4.22,UCAS3,UNICASA,21500.0
2022-01-03,3.62,SAPR3,SANEPAR,990100.0
2022-02-03,7.06,CEDO3,CEDRO,2900.0
2022-02-03,11.69,BRSR3,BANRISUL,5700.0
2022-02-03,2.54,COGN3,COGNA ON,23410300.0
2022-02-03,14.76,TGMA3,TEGMA,273600.0
2022-02-03,13.93,DIRR3,DIRECIONAL,2534000.0
2022-02-03,7.05,MLAS3,MULTILASER,815100.0
2022-02-03,12.54,RAPT3,RANDON PART,11400.0
2022-02-03,15.25,TEND3,TENDA,1043600.0
2022-02-03,38.7,CGRA3,GRAZZIOTIN,200.0
2022-02-03,4.22,MELK3,MELNICK,228400.0
2022-02-03,25.31,BRAP3,BRADESPAR,326300.0
2022-02-03,9.94,TTEN3,3TENTOS,502700.0
2022-01-03,3.47,TCSA3,TECNISA,1321000.0
2022-01-03,4.37,ALPK3,ESTAPAR,20400.0
2022-01-03,24.56,ARML3,ARMAC,757700.0
2022-01-03,13.49,SEQL3,SEQUOIA LOG,1768700.0
2022-01-03,8.57,VLID3,VALID,701500.0
2022-01-03,20.98,ALSO3,ALIANSCSONAE,1241800.0
2022-01-03,3.38,HBSA3,HIDROVIAS,3135500.0
2022-01-03,12.41,MEGA3,OMEGAENERGIA,1500600.0
2022-01-03,2.58,NGRD3,NEOGRID,3646600.0
2022-02-03,22.58,LOGN3,LOG-IN,427300.0
2022-02-03,39.89,AMBP3,AMBIPAR,877200.0
2022-02-03,9.0,LWSA3,LOCAWEB,19799200.0
2022-02-03,24.7,ALPA3,ALPARGATAS,3200.0
2022-02-03,40.2,TELB3,TELEBRAS,100.0
2022-02-03,31.42,LEVE3,METAL LEVE,246500.0
2022-02-03,13.67,CVCB3,CVC BRASIL,8184300.0
2022-02-03,12.48,FRAS3,FRAS-LE,2024100.0
2022-02-03,31.11,TRPL3,TRAN PAULIST,2100.0
2022-02-03,40.76,EGIE3,ENGIE BRASIL,1087800.0
2022-01-03,5.97,CPLE3,COPEL,1839200.0
2022-01-03,12.93,PNVL3,DIMED,492200.0
2022-01-03,20.58,PRIO3,PETRORIO,14270600.0
2022-01-03,17.87,ROMI3,INDS ROMI,1432600.0
2022-01-03,16.75,DESK3,DESKTOP,700500.0
2022-01-03,14.49,USIM3,USIMINAS,171900.0
2022-01-03,6.75,CURY3,CURY S/A,610900.0
2022-01-03,10.59,POWE3,FOCUS ON,610400.0
2022-01-03,15.31,MOVI3,MOVIDA,2269900.0
2022-01-03,14.92,PTNT3,PETTENATI,7700.0
2022-01-03,1.08,BBRK3,BR BROKERS,979500.0
2022-01-03,1.3,PDGR3,PDG REALT,429300.0
2022-01-03,9.0,SULA3,SUL AMERICA,10800.0
2022-02-03,3.54,SHOW3,TIME FOR FUN,533300.0
2022-02-03,9.17,PGMN3,PAGUE MENOS,529300.0
2022-02-03,8.11,PMAM3,PARANAPANEMA,169200.0
2022-02-03,5.65,GMAT3,GRUPO MATEUS,13835400.0
2022-02-03,6.48,TRIS3,TRISUL,1187600.0
2022-02-03,8.27,WIZS3,WIZ S.A.,1306200.0
2022-02-03,2.75,MEAL3,IMC S/A,1371000.0
2022-02-03,24.46,SBFG3,GRUPO SBF,1113800.0
2022-02-03,16.91,SMFT3,SMART FIT,1310300.0
2022-02-03,13.82,SOMA3,GRUPO SOMA,5027000.0
2022-02-03,12.54,HAPV3,HAPVIDA,29204300.0
2022-02-03,15.91,GGPS3,GPS,405200.0
2022-01-03,25.33,OFSA3,OUROFINO S/A,3200.0
2022-01-03,101.37,UNIP3,UNIPAR,66400.0
2022-01-03,24.31,LOGG3,LOG COM PROP,1402600.0
2022-01-03,13.47,CBAV3,CBA,1424900.0
2022-01-03,43.9,RDOR3,REDE D OR,3004000.0
2022-01-03,2.68,DOTZ3,DOTZ SA,67000.0
2022-01-03,6.2,MILS3,MILLS,818000.0
2022-01-03,27.56,HYPE3,HYPERA,2667800.0
2022-01-03,8.1,CXSE3,CAIXA SEGURI,2727300.0
2022-01-03,5.9,BKBR3,BK BRASIL,1363100.0
2022-01-03,7.38,CSED3,CRUZEIRO EDU,1157900.0
2022-01-03,7.19,ECOR3,ECORODOVIAS,6696200.0
2022-01-03,7.24,SYNE3,SYN PROP TEC,1131600.0
2022-01-03,11.19,SIMH3,SIMPAR,1810400.0
2022-01-03,22.82,BRFS3,BRF SA,12280000.0
2022-02-03,7.62,OSXB3,OSX BRASIL,2400.0
2022-02-03,13.39,TIMS3,TIM,6519300.0
2022-02-03,6.52,PDTC3,PADTEC,38300.0
2022-02-03,6.63,FIQE3,UNIFIQUE,266100.0
2022-02-03,9.77,DEXP3,DEXXOS PAR,280000.0
2022-02-03,8.72,GRND3,GRENDENE,1954100.0
2022-02-03,4.45,VIIA3,VIA,56051800.0
2022-02-03,14.01,ELMD3,ELETROMIDIA,140000.0
2022-02-03,21.42,NTCO3,GRUPO NATURA,8012400.0
2022-02-03,15.46,ENAT3,ENAUTA PART,1389900.0
2022-02-03,2.98,IRBR3,IRBBRASIL RE,16102000.0
2022-02-21,57.31,SUZB3,SUZANO S.A.,3820800.0
2022-02-21,11.06,AESB3,AES BRASIL,1033600.0
2022-01-19,61.92,SUZB3,SUZANO S.A.,7763800.0
2022-01-19,62.88,GNDI3,INTERMEDICA,2910700.0
2022-01-19,14.49,ABEV3,AMBEV S/A,31621600.0
2022-01-03,33.28,BLAU3,BLAU,741300.0
2022-01-03,30.48,AMER3,AMERICANAS,7595600.0
2022-01-03,73.23,ARZZ3,AREZZO CO,1080000.0
2022-01-03,12.81,LWSA3,LOCAWEB,6082100.0
2022-01-03,0.5,DMMO3,DOMMO,2984400.0
2022-01-03,32.34,DASA3,DASA,227900.0
2022-01-03,33.81,SMTO3,SAO MARTINHO,684000.0
2022-01-03,6.65,AERI3,AERIS,2606700.0
2022-01-03,1.19,VIVR3,VIVER,5613600.0
2022-01-03,33.81,RRRP3,3R PETROLEUM,3498700.0
2022-01-03,5.68,KLBN3,KLABIN S/A,137800.0
2022-01-19,3.88,RCSL3,RECRUSUL,4307400.0
2022-01-19,2.46,LPSB3,LOPES BRASIL,1605700.0
2022-01-19,15.7,NEOE3,NEOENERGIA,1760300.0
2022-01-19,32.92,ELET3,ELETROBRAS,4964400.0
2022-01-19,14.21,SOJA3,BOA SAFRA,336500.0
2022-01-19,14.31,IFCM3,INFRACOMM,638500.0
2022-01-19,6.54,REDE3,REDE ENERGIA,3800.0
2022-01-19,22.0,EQTL3,EQUATORIAL,6067800.0
2022-01-19,8.68,AFLT3,AFLUENTE T,300.0
2022-01-19,23.16,MDIA3,M.DIASBRANCO,1545300.0
2022-01-19,4.78,SGPS3,SPRINGS,62700.0
2022-01-19,2.55,ENJU3,ENJOEI,1808400.0
2022-01-19,6.24,WHRL3,WHIRLPOOL,4800.0
2022-01-19,10.37,LIGT3,LIGHT S/A,1318700.0
2022-02-21,49.37,FESA3,FERBASA,300.0
2022-02-21,14.63,ABEV3,AMBEV S/A,12423900.0
