DATA_DO_PREGAO,PRECO_MEDIO,CODIGO_DE_NEGOCIACAO,NOME_DA_EMPRESA,QUANTIDADE_NEGOCIADA
2021-01-14,27.1,TGMA3,TEGMA,752800.0
2021-01-14,3.45,TIET3,AES TIETE E,337200.0
2021-01-14,14.12,TIMS3,TIM,3154900.0
2021-01-14,28.25,TOTS3,TOTVS,2600300.0
2021-01-14,2.09,TPIS3,TRIUNFO PART,605400.0
2021-01-14,11.36,TRIS3,TRISUL,1295900.0
2021-01-14,29.63,TRPL3,TRAN PAULIST,800.0
2021-01-14,22.85,TUPY3,TUPY,994600.0
2021-01-14,4.19,UCAS3,UNICASA,100600.0
2021-01-14,23.49,UGPA3,ULTRAPAR,6553100.0
2021-01-14,54.67,UNIP3,UNIPAR,15900.0
2021-01-29,7.77,GRND3,GRENDENE,1293100.0
2021-01-29,52.44,GSHP3,GENERALSHOPP,500.0
2021-01-29,15.11,GUAR3,GUARARAPES,1261900.0
2021-01-29,3.19,HAGA3,HAGA S/A,15600.0
2021-01-29,17.37,HAPV3,HAPVIDA,10898000.0
2021-01-29,10.3,HBOR3,HELBOR,2101700.0
2021-01-29,16.86,HBRE3,HBR REALTY,310600.0
2021-01-29,6.75,HBSA3,HIDROVIAS,1541000.0
2021-01-29,17.52,HGTX3,CIA HERING,2649500.0
2021-01-29,32.52,HYPE3,HYPERA,8327800.0
2021-01-04,11.0,AALR3,ALLIAR,405100.0
2021-01-04,15.52,ABEV3,AMBEV S/A,17835200.0
2021-01-04,10.39,AERI3,AERIS,5003800.0
2021-01-04,10.22,AFLT3,AFLUENTE T,10700.0
2021-01-04,25.29,AGRO3,BRASILAGRO,165600.0
2021-01-04,22.81,AHEB3,SPTURIS,100.0
2021-01-04,38.17,ALPA3,ALPARGATAS,4500.0
2021-01-14,16.39,USIM3,USIMINAS,475300.0
2021-01-14,97.53,VALE3,VALE,20809900.0
2021-01-14,26.89,VIVA3,VIVARA S.A.,755300.0
2021-01-14,44.7,VIVT3,TELEF BRASIL,2284300.0
2021-01-14,9.61,VLID3,VALID,890000.0
2021-01-14,8.06,VULC3,VULCABRAS,822200.0
2021-01-14,14.81,VVAR3,VIAVAREJO,41191200.0
2021-01-14,90.51,WEGE3,WEG,4238500.0
2021-01-14,7.59,WHRL3,WHIRLPOOL,28800.0
2021-01-14,7.83,WIZS3,WIZ S.A.,1412800.0
2021-01-14,22.41,WLMM3,WLM IND COM,1000.0
2021-01-29,34.84,IGTA3,IGUATEMI,1515700.0
2021-01-29,7.41,IRBR3,IRBBRASIL RE,41977300.0
2021-01-29,11.74,ITSA3,ITAUSA,94500.0
2021-01-29,25.99,ITUB3,ITAUUNIBANCO,1350900.0
2021-01-29,2.46,JBDU3,J B DUARTE,24800.0
2021-01-29,24.38,JBSS3,JBS,10929100.0
2021-01-29,7.43,JHSF3,JHSF PART,13974800.0
2021-01-29,24.39,JPSA3,JEREISSATI,158700.0
2021-01-29,9.37,JSLG3,JSL,309200.0
2021-01-29,37.47,KEPL3,KEPLER WEBER,143700.0
2021-01-29,6.01,KLBN3,KLABIN S/A,540000.0
2021-01-04,9.39,ALPK3,ESTAPAR,47000.0
2021-01-04,28.29,ALSO3,ALIANSCSONAE,1733800.0
2021-01-04,9.03,ALUP3,ALUPAR,15300.0
2021-01-04,6.63,AMAR3,LOJAS MARISA,4333800.0
2021-01-04,26.78,AMBP3,AMBIPAR,256400.0
2021-01-04,36.06,ANIM3,ANIMA,475400.0
2021-01-04,34.01,APER3,ALPER S.A.,26100.0
